Configuration Index,RAM (GB),Processor Speeds (GHz),Integrated Wireless,HD Size (GB),Bundled Applications,Retail Price
290,1,1.5,Yes,40,No,287
208,2,1.5,No,300,No,329
292,1,1.5,Yes,80,No,315
342,2,1.5,Yes,120,No,357
304,1,1.5,No,300,No,357
347,2,1.5,No,80,Yes,364
338,2,1.5,Yes,40,No,315
352,2,1.5,No,300,No,385
299,1,1.5,No,80,Yes,336
16,1,1.5,No,300,No,287
148,1,1.5,Yes,80,No,259
338,2,1.5,Yes,40,No,315
299,1,1.5,No,80,Yes,336
51,2,1.5,Yes,80,Yes,308
295,1,1.5,Yes,300,Yes,406
8,1,1.5,Yes,300,No,301
55,2,1.5,Yes,300,Yes,364
340,2,1.5,Yes,80,No,343
299,1,1.5,No,80,Yes,336
296,1,1.5,Yes,300,No,371
349,2,1.5,No,120,Yes,378
344,2,1.5,Yes,300,No,399
205,2,1.5,No,120,Yes,322
350,2,1.5,No,120,No,343
199,2,1.5,Yes,300,Yes,378
292,1,1.5,Yes,80,No,315
352,2,1.5,No,300,No,385
289,1,1.5,Yes,40,Yes,322
293,1,1.5,Yes,120,Yes,364
345,2,1.5,No,40,Yes,336
346,2,1.5,No,40,No,301
53,2,1.5,Yes,120,Yes,322
145,1,1.5,Yes,40,Yes,266
152,1,1.5,Yes,300,No,315
346,2,1.5,No,40,No,301
154,1,1.5,No,40,No,217
55,2,1.5,Yes,300,Yes,364
153,1,1.5,No,40,Yes,252
344,2,1.5,Yes,300,No,399
292,1,1.5,Yes,80,No,315
149,1,1.5,Yes,120,Yes,308
292,1,1.5,Yes,80,No,315
63,2,1.5,No,300,Yes,350
7,1,1.5,Yes,300,Yes,336
350,2,1.5,No,120,No,343
339,2,1.5,Yes,80,Yes,378
289,1,1.5,Yes,40,Yes,322
8,1,1.5,Yes,300,No,301
342,2,1.5,Yes,120,No,357
61,2,1.5,No,120,Yes,308
195,2,1.5,Yes,80,Yes,322
193,2,1.5,Yes,40,Yes,294
203,2,1.5,No,80,Yes,308
146,1,1.5,Yes,40,No,231
